Sum of total_time_ns,,
file_name,algo_name,Total
asc_1000.txt,quicksort_median_of_three,1951000
,mergesort,2724000
,quicksort_first,24647000
,quicksort_50,73563000
,quicksort_100,157503000
asc_10000.txt,quicksort_median_of_three,26545000
,mergesort,32306000
,quicksort_first,2332765000
,quicksort_50,7511643000
,quicksort_100,9.90816E+11
asc_2000.txt,quicksort_median_of_three,4121000
,mergesort,6211000
,quicksort_first,95681000
,quicksort_100,296160000
,quicksort_50,301427000
asc_20000.txt,quicksort_median_of_three,54849000
,mergesort,68892000
,quicksort_first,9288034000
,quicksort_50,30108336000
,quicksort_100,3.24221E+11
asc_50.txt,quicksort_50,117000
,mergesort,156000
,quicksort_median_of_three,157000
,quicksort_first,172000
,quicksort_100,271000
asc_500.txt,quicksort_median_of_three,946000
,mergesort,1241000
,quicksort_first,6097000
,quicksort_50,17724000
,quicksort_100,33275000
asc_5000.txt,quicksort_median_of_three,11646000
,mergesort,15056000
,quicksort_first,578119000
,quicksort_50,1867880000
,quicksort_100,3211049000
dup_1000.txt,quicksort_first,1741000
,quicksort_median_of_three,1942000
,mergesort,2625000
,quicksort_50,5634000
,quicksort_100,67470000
dup_10000.txt,quicksort_first,20420000
,quicksort_median_of_three,25255000
,mergesort,32337000
,quicksort_50,234144000
,quicksort_100,10848947000
dup_2000.txt,quicksort_first,3780000
,quicksort_median_of_three,4162000
,mergesort,5592000
,quicksort_50,17087000
,quicksort_100,149701000
dup_20000.txt,quicksort_first,41940000
,quicksort_median_of_three,51672000
,mergesort,68740000
,quicksort_50,1643391000
,quicksort_100,45359527000
dup_50.txt,quicksort_first,145000
,quicksort_50,167000
,mergesort,180000
,quicksort_100,188000
,quicksort_median_of_three,188000
dup_500.txt,quicksort_first,774000
,quicksort_median_of_three,923000
,quicksort_50,1129000
,mergesort,1216000
,quicksort_100,16453000
dup_5000.txt,quicksort_first,8810000
,quicksort_median_of_three,10888000
,mergesort,15227000
,quicksort_50,161629000
,quicksort_100,3315454000
ran_1000.txt,quicksort_first,1624000
,quicksort_median_of_three,1919000
,mergesort,2595000
,quicksort_50,6086000
,quicksort_100,238677000
ran_10000.txt,quicksort_first,19365000
,quicksort_median_of_three,25520000
,mergesort,32137000
,quicksort_50,487113000
,quicksort_100,12915708000
ran_2000.txt,quicksort_first,3296000
,quicksort_median_of_three,4244000
,mergesort,5673000
,quicksort_50,23199000
,quicksort_100,295688000
ran_20000.txt,quicksort_first,40898000
,quicksort_median_of_three,54099000
,mergesort,68857000
,quicksort_50,1182296000
,quicksort_100,9.06978E+11
ran_50.txt,quicksort_50,124000
,mergesort,159000
,quicksort_median_of_three,160000
,quicksort_first,288000
,quicksort_100,360000
ran_500.txt,quicksort_median_of_three,928000
,quicksort_first,1159000
,mergesort,1238000
,quicksort_50,1472000
,quicksort_100,17441000
ran_5000.txt,quicksort_first,9417000
,quicksort_median_of_three,11845000
,mergesort,15154000
,quicksort_50,92108000
,quicksort_100,3321606000
rev_1000.txt,quicksort_median_of_three,1948000
,mergesort,2630000
,quicksort_50,4889000
,quicksort_first,30480000
,quicksort_100,72877000
rev_10000.txt,quicksort_median_of_three,24870000
,mergesort,32359000
,quicksort_50,319481000
,quicksort_first,3029697000
,quicksort_100,7529062000
rev_2000.txt,quicksort_median_of_three,4343000
,mergesort,5538000
,quicksort_50,17053000
,quicksort_first,122947000
,quicksort_100,531606000
rev_20000.txt,quicksort_median_of_three,53632000
,mergesort,68167000
,quicksort_50,1241831000
,quicksort_first,12579897000
,quicksort_100,54171235000
rev_50.txt,quicksort_100,123000
,mergesort,163000
,quicksort_50,178000
,quicksort_first,188000
,quicksort_median_of_three,4911000
rev_500.txt,quicksort_median_of_three,974000
,mergesort,1213000
,quicksort_50,1390000
,quicksort_first,7352000
,quicksort_100,17092000
rev_5000.txt,quicksort_median_of_three,11879000
,mergesort,15128000
,quicksort_50,83875000
,quicksort_first,772100000
,quicksort_100,3771044000
Grand Total,,2.44368E+12
